# BJD FLUX E_FLUX MAG E_MAG FLAG
8470.620403 0.977100 0.001631 0.025153 0.001813 0
8470.641216 0.982215 0.001634 0.019484 0.001806 0
8470.662029 0.986771 0.001635 0.014459 0.001799 0
8470.682903 0.991020 0.001637 0.009794 0.001794 0
8470.703716 0.995786 0.001641 0.004585 0.001789 0
8470.724529 1.000643 0.001642 -0.000698 0.001782 0
8470.745403 0.999185 0.001641 0.000886 0.001783 0
8470.766216 1.001762 0.001642 -0.001911 0.001780 0
8470.787029 0.998530 0.001641 0.001597 0.001784 0
8470.807903 1.004259 0.001643 -0.004615 0.001776 0
8470.828716 0.997019 0.001641 0.003242 0.001787 0
8470.849529 1.000992 0.001643 -0.001076 0.001782 0
8470.870404 0.996734 0.001640 0.003552 0.001786 0
8470.891217 0.938322 0.001610 0.069120 0.001863 0
8470.912030 0.835179 0.001558 0.195551 0.002026 0
8470.932904 0.856007 0.001567 0.168807 0.001987 0
8470.953717 0.964957 0.001623 0.038730 0.001826 0
8470.974530 0.996173 0.001639 0.004163 0.001787 0
8470.995404 1.001371 0.001643 -0.001488 0.001782 0
8471.016217 1.000695 0.001642 -0.000754 0.001781 0
8471.037030 1.003497 0.001645 -0.003791 0.001780 0
8471.057904 1.003983 0.001643 -0.004316 0.001777 0
8471.078717 1.004939 0.001643 -0.005350 0.001775 0
8471.099530 1.001082 0.001640 -0.001174 0.001779 0
8471.120404 1.003823 0.001645 -0.004143 0.001779 0
8471.141218 1.005871 0.001643 -0.006356 0.001774 0
8471.162031 0.993606 0.001638 0.006964 0.001790 0
8471.182905 0.993963 0.001637 0.006575 0.001789 0
8471.203718 0.982131 0.001632 0.019576 0.001804 0
8471.224531 0.978294 0.001633 0.023827 0.001812 0
8471.245405 0.970199 0.001627 0.032848 0.001820 0
8471.266218 0.960469 0.001621 0.043792 0.001832 0
8471.287031 0.956086 0.001618 0.048757 0.001838 0
8471.307905 0.940399 0.001610 0.066719 0.001859 0
8471.328718 0.785826 0.001531 0.261684 0.002115 0
8471.349532 0.667744 0.001465 0.438475 0.002383 0
8471.370406 0.796560 0.001537 0.246953 0.002095 0
8471.391219 0.938255 0.001614 0.069198 0.001868 0
8471.412032 0.957693 0.001621 0.046934 0.001838 0
8471.432906 0.966557 0.001623 0.036931 0.001823 0
8471.453719 0.968105 0.001625 0.035194 0.001822 0
8471.474532 0.973132 0.001628 0.029571 0.001817 0
8471.495406 0.978954 0.001629 0.023095 0.001807 0
8471.516219 0.841686 0.001561 0.187124 0.002014 1
8471.537032 0.982234 0.001628 0.019462 0.001800 1
8471.557906 0.989235 0.001633 0.011751 0.001793 0
8471.578719 0.996121 0.001637 0.004220 0.001785 0
8471.599533 0.996310 0.001637 0.004014 0.001784 1
8471.620407 0.994947 0.001635 0.005500 0.001785 0
8471.641220 0.997422 0.001639 0.002803 0.001784 1
8471.662033 0.996301 0.001639 0.004024 0.001786 1
8471.682907 0.996229 0.001637 0.004102 0.001784 1
8471.703720 0.992287 0.001636 0.008406 0.001790 0
8471.724533 0.998350 0.001640 0.001793 0.001783 0
8471.745346 0.957594 0.001620 0.047046 0.001837 0
8471.766159 0.848068 0.001561 0.178923 0.001998 0
8471.787033 0.833800 0.001555 0.197346 0.002025 0
8471.807846 0.943597 0.001609 0.063034 0.001851 1
8471.828659 0.997220 0.001639 0.003022 0.001784 0
8471.849533 0.998837 0.001642 0.001264 0.001785 0
8471.870346 0.994639 0.001638 0.005836 0.001788 0
8471.891160 0.998825 0.001640 0.001277 0.001783 0
8471.912034 0.998324 0.001638 0.001821 0.001782 0
8471.932847 1.003258 0.001645 -0.003531 0.001780 0
8471.953660 0.997747 0.001640 0.002448 0.001784 0
8471.974534 0.998900 0.001639 0.001195 0.001782 0
8471.995347 0.993310 0.001637 0.007288 0.001789 0
8472.016160 0.989420 0.001636 0.011548 0.001796 1
8472.037034 0.982760 0.001631 0.018882 0.001802 0
8472.057847 0.976581 0.001630 0.025730 0.001812 0
8472.078660 0.971182 0.001628 0.031748 0.001820 0
8472.099534 0.965922 0.001624 0.037645 0.001825 0
8472.120348 0.961066 0.001623 0.043117 0.001833 0
8472.141161 0.950519 0.001617 0.055098 0.001847 1
8472.162035 0.945108 0.001616 0.061296 0.001857 0
8472.182848 0.828640 0.001553 0.204086 0.002035 0
8472.203661 0.668089 0.001467 0.437914 0.002384 0
8472.224535 0.751667 0.001514 0.309936 0.002186 0
8472.245348 0.917646 0.001602 0.093312 0.001896 0
8472.266161 0.956608 0.001621 0.048165 0.001839 0
8472.287035 0.957118 0.001621 0.047586 0.001839 0
8472.307849 0.961747 0.001624 0.042347 0.001833 0
8472.328662 0.969411 0.001625 0.033730 0.001820 0
8472.349536 0.973690 0.001631 0.028948 0.001818 0
8472.370349 0.983351 0.001635 0.018228 0.001805 0
8472.391162 0.989133 0.001637 0.011863 0.001797 0
8472.412036 0.993693 0.001640 0.006869 0.001792 0
8472.432849 0.992818 0.001641 0.007826 0.001794 0
8472.453662 0.993952 0.001642 0.006587 0.001793 0
8472.474536 0.994844 0.001643 0.005612 0.001793 0
8472.495350 0.998743 0.001643 0.001366 0.001787 0
8472.516163 0.997989 0.001645 0.002185 0.001789 0
8472.537037 1.001662 0.001644 -0.001803 0.001782 0
8472.557850 1.015541 0.001652 -0.016743 0.001766 1
8472.578663 1.005471 0.001647 -0.005924 0.001779 0
8472.599537 0.983726 0.001636 0.017815 0.001805 0
8472.620350 0.873376 0.001580 0.146997 0.001964 0
8472.641163 0.820813 0.001552 0.214390 0.002053 0
8472.662037 0.913226 0.001601 0.098555 0.001903 0
8472.682850 0.995109 0.001644 0.005323 0.001793 0
8472.703663 1.001200 0.001645 -0.001302 0.001784 0
8472.724538 0.998635 0.001643 0.001483 0.001786 0
8472.745351 0.999934 0.001646 0.000071 0.001787 0
8472.766164 1.002362 0.001649 -0.002562 0.001786 0
8472.787038 1.000448 0.001645 -0.000486 0.001785 0
8472.807851 0.997216 0.001650 0.003027 0.001797 0
8472.828664 1.002378 0.001647 -0.002579 0.001784 0
8472.849538 0.995088 0.001643 0.005346 0.001793 0
8472.870351 0.994076 0.001642 0.006451 0.001793 0
8472.891164 0.986981 0.001639 0.014229 0.001803 0
8472.912038 0.981830 0.001637 0.019909 0.001811 0
8472.932851 0.974679 0.001633 0.027846 0.001819 0
8472.953665 0.968104 0.001630 0.035195 0.001828 0
8472.974539 0.961190 0.001626 0.042977 0.001837 0
8472.995352 0.955052 0.001624 0.049933 0.001846 0
8473.016165 0.951413 0.001622 0.054077 0.001851 0
8473.037039 0.875720 0.001582 0.144087 0.001961 0
8473.057852 0.693847 0.001486 0.396841 0.002325 0
8473.078665 0.712809 0.001496 0.367567 0.002278 0
8473.099539 0.892907 0.001593 0.122984 0.001937 0
8473.120352 0.956270 0.001624 0.048548 0.001844 0
8473.141166 0.958076 0.001629 0.046500 0.001846 0
8473.162040 0.966564 0.001630 0.036924 0.001831 0
8473.182853 0.976973 0.001634 0.025294 0.001816 0
8473.203666 0.975945 0.001635 0.026437 0.001819 0
8473.224540 0.981981 0.001637 0.019742 0.001810 0
8473.245353 0.987219 0.001640 0.013967 0.001804 0
8473.266166 0.986812 0.001642 0.014414 0.001807 0
